ItemNum,SubItemNum,ItemStartDate,ItemEndDate,Category,Group,SubGroup,SubHeading,ItemType,FeeType,ProviderType,NewItem,ItemChange,AnaesChange,DescriptorChange,FeeChange,EMSNChange,EMSNCap,BenefitType,BenefitStartDate,FeeStartDate,ScheduleFee,Benefit100,BasicUnits,EMSNStartDate,EMSNEndDate,EMSNFixedCapAmount,EMSNMaximumCap,EMSNPercentageCap,EMSNDescription,EMSNChangeDate,DescriptionStartDate,Description,QFEStartDate,QFEEndDate,DerivedFeeStartDate,DerivedFee,Benefit75,Benefit85,Anaes
20145,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,144.20,NA,7,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for vitrectomy (7 basic units)
",,,NA,NA,108.15,122.60,NA
20146,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for biopsy of conjunctiva (5 basic units)
",,,NA,NA,77.25,87.55,NA
20147,,01.07.2008,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.07.2008,01.07.2021,123.60,NA,6,,,,,,,,01.07.2008,"INITIATION OF MANAGEMENT OF ANAESTHESIA for squint repair (6 basic units)
",,,NA,NA,92.70,105.10,NA
20148,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,82.40,NA,4,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for ophthalmoscopy (4 basic units)
",,,NA,NA,61.80,70.05,NA
20160,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,123.60,NA,6,,,,,,,,01.11.2019,"Initiation of the management of anaesthesia for intranasal or accessory sinuses, not being a service to which another item in this Subgroup applies (6 basic units)
",,,NA,NA,92.70,105.10,NA
20162,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,144.20,NA,7,,,,,,,,01.11.2019,"Initiation of the management of anaesthesia for intranasal surgery for malignancy or for intranasal ablation (7 basic units)
",,,NA,NA,108.15,122.60,NA
20164,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,82.40,NA,4,,,,,,,,01.05.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for biopsy of soft tissue of the nose and accessory sinuses (4 basic units)
",,,NA,NA,61.80,70.05,NA
20170,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,123.60,NA,6,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for intraoral procedures, including biopsy, not being a service to which another item in this Subgroup applies (6 basic units)
",,,NA,NA,92.70,105.10,NA
20172,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,144.20,NA,7,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for repair of cleft palate (7 basic units)
",,,NA,NA,108.15,122.60,NA
20174,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,185.40,NA,9,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for excision of retropharyngeal tumour (9 basic units)
",,,NA,NA,139.05,157.60,NA
20176,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for radical intraoral surgery (10 basic units)
",,,NA,NA,154.50,175.10,NA
20190,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on facial bones, not being a service to which another item in this Subgroup applies (5 basic units)
",,,NA,NA,77.25,87.55,NA
20192,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.05.2002,"INITIATION OF MANAGEMENT OF ANAESTHESIA for extensive surgery on facial bones (including prognathism and extensive facial bone reconstruction) (10 basic units)
",,,NA,NA,154.50,175.10,NA
20210,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,309.00,NA,15,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for intracranial procedures, not being a service to which another item in this Subgroup applies (15 basic units)
",,,NA,NA,231.75,262.65,NA
20212,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for subdural taps (5 basic units)
",,,NA,NA,77.25,87.55,NA
20214,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,185.40,NA,9,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for burr holes of the cranium (9 basic units)
",,,NA,NA,139.05,157.60,NA
20216,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,412.00,NA,20,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for intracranial vascular procedures including those for aneurysms or arterio-venous abnormalities (20 basic units)
",,,NA,NA,309.00,350.20,NA
20220,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for spinal fluid shunt procedures (10 basic units)
",,,NA,NA,154.50,175.10,NA
20222,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,123.60,NA,6,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for ablation of an intracranial nerve (6 basic units)
",,,NA,NA,92.70,105.10,NA
20225,,01.11.2001,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,247.20,NA,12,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for all cranial bone procedures (12 basic units)
",,,NA,NA,185.40,210.15,NA
20230,,01.07.2008,,3,T10,1,,S,N,,N,N,N,N,N,N,N,C,01.07.2008,01.07.2021,247.20,NA,12,,,,,,,,01.07.2008,"INITIATION OF MANAGEMENT OF ANAESTHESIA for microvascular free tissue flap surgery involving the head or face (12 basic units)
",,,NA,NA,185.40,210.15,NA
20300,,01.11.2001,,3,T10,2,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.05.2002,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the neck not being a service to which another item in this Subgroup applies (5 basic units)
",,,NA,NA,77.25,87.55,NA
20305,,01.11.2001,,3,T10,2,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,309.00,NA,15,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for incision and drainage of large haematoma, large abscess, cellulitis or similar lesion or epiglottitis causing life threatening airway obstruction (15 basic units)
",,,NA,NA,231.75,262.65,NA
20320,,01.11.2001,,3,T10,2,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,123.60,NA,6,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on oesophagus, thyroid, larynx, trachea, lymphatic system, muscles, nerves or other deep tissues of the neck, not being a service to which another item in this Subgroup applies (6 basic units)
",,,NA,NA,92.70,105.10,NA
20321,,01.11.2001,,3,T10,2,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for laryngectomy, hemi laryngectomy, laryngopharyngectomy or pharyngectomy (10 basic units)
",,,NA,NA,154.50,175.10,NA
20330,,01.11.2001,,3,T10,2,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,164.80,NA,8,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for laser surgery to the airway (excluding nose and mouth) (8 basic units)
",,,NA,NA,123.60,140.10,NA
20350,,01.11.2001,,3,T10,2,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on major vessels of neck, not being a service to which another item in this Subgroup applies (10 basic units)
",,,NA,NA,154.50,175.10,NA
20352,,01.11.2001,,3,T10,2,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for simple ligation of major vessels of neck (5 basic units)
",,,NA,NA,77.25,87.55,NA
20355,,01.07.2008,,3,T10,2,,S,N,,N,N,N,N,N,N,N,C,01.07.2008,01.07.2021,247.20,NA,12,,,,,,,,01.07.2008,"INITIATION OF MANAGEMENT OF ANAESTHESIA for microvascular free tissue flap surgery involving the neck (12 basic units)
",,,NA,NA,185.40,210.15,NA
20400,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,61.80,NA,3,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the anterior part of the chest, not being a service to which another item in this Subgroup applies (3 basic units)
",,,NA,NA,46.35,52.55,NA
20401,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,82.40,NA,4,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the breast, not being a service to which another item in this Subgroup applies (4 basic units)
",,,NA,NA,61.80,70.05,NA
20402,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for reconstructive procedures on breast (5 basic units)
",,,NA,NA,77.25,87.55,NA
20403,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.05.2002,"INITIATION OF MANAGEMENT OF ANAESTHESIA for removal of breast lump or for breast segmentectomy where axillary node dissection is performed (5 basic units)
",,,NA,NA,77.25,87.55,NA
20404,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,123.60,NA,6,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for mastectomy (6 basic units)
",,,NA,NA,92.70,105.10,NA
20405,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,164.80,NA,8,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for reconstructive procedures on the breast using myocutaneous flaps (8 basic units)
",,,NA,NA,123.60,140.10,NA
20406,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,267.80,NA,13,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for radical or modified radical procedures on breast with internal mammary node dissection (13 basic units)
",,,NA,NA,200.85,227.65,NA
20410,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,82.40,NA,4,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for electrical conversion of arrhythmias (4 basic units)
",,,NA,NA,61.80,70.05,NA
20420,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.05.2002,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the posterior part of the chest not being a service to which another item in this Subgroup applies (5 basic units)
",,,NA,NA,77.25,87.55,NA
20440,,01.05.2003,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.05.2003,01.07.2021,82.40,NA,4,,,,,,,,01.05.2003,"INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous bone marrow biopsy of the sternum (4 basic units)
",,,NA,NA,61.80,70.05,NA
20450,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on clavicle, scapula or sternum, not being a service to which another item in this Subgroup applies (5 basic units)
",,,NA,NA,77.25,87.55,NA
20452,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,123.60,NA,6,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for radical surgery on clavicle, scapula or sternum (6 basic units)
",,,NA,NA,92.70,105.10,NA
20470,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,123.60,NA,6,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for partial rib resection, not being a service to which another item in this Subgroup applies (6 basic units)
",,,NA,NA,92.70,105.10,NA
20472,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for thoracoplasty (10 basic units)
",,,NA,NA,154.50,175.10,NA
20474,,01.11.2001,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,267.80,NA,13,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for radical procedures on chest wall (13 basic units)
",,,NA,NA,200.85,227.65,NA
20475,,01.07.2008,,3,T10,3,,S,N,,N,N,N,N,N,N,N,C,01.07.2008,01.07.2021,206.00,NA,10,,,,,,,,01.07.2008,"INITIATION OF MANAGEMENT OF ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior thorax (10 basic units)
",,,NA,NA,154.50,175.10,NA
20500,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,309.00,NA,15,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for open procedures on the oesophagus (15 basic units)
",,,NA,NA,231.75,262.65,NA
20520,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,123.60,NA,6,,,,,,,,01.05.2002,"INITIATION OF MANAGEMENT OF ANAESTHESIA for all closed chest procedures (including rigid oesophagoscopy or bronchoscopy), not being a service to which another item in this Subgroup applies (6 basic units)
",,,NA,NA,92.70,105.10,NA
20522,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,82.40,NA,4,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for needle biopsy of pleura (4 basic units)
",,,NA,NA,61.80,70.05,NA
20524,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,82.40,NA,4,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for pneumocentesis (4 basic units)
",,,NA,NA,61.80,70.05,NA
20526,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.05.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for thoracoscopy (10 basic units)
",,,NA,NA,154.50,175.10,NA
20528,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,164.80,NA,8,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for mediastinoscopy (8 basic units)
",,,NA,NA,123.60,140.10,NA
20540,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,267.80,NA,13,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for thoracotomy procedures involving lungs, pleura, diaphragm, or mediastinum, not being a service to which another item in this Subgroup applies (13 basic units)
",,,NA,NA,200.85,227.65,NA
20542,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,309.00,NA,15,,,,,,,,01.05.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for pulmonary decortication (15 basic units)
",,,NA,NA,231.75,262.65,NA
20546,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,309.00,NA,15,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for pulmonary resection with thoracoplasty (15 basic units)
",,,NA,NA,231.75,262.65,NA
20548,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,309.00,NA,15,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for intrathoracic repair of trauma to trachea and bronchi (15 basic units)
",,,NA,NA,231.75,262.65,NA
20560,,01.11.2001,,3,T10,4,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,412.00,NA,20,,,,,,,,01.11.2017,"Initiation of the management of anaesthesia for: (a) open procedures on the heart, pericardium or great vessels of the chest; or (b) percutaneous insertion of a valvular prosthesis (20 basic units)
",,,NA,NA,309.00,350.20,NA
20600,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on cervical spine and/or cord, not being a service to which another item in this Subgroup applies (for myelography and discography see Items 21908 and 21914) (10 basic units)
",,,NA,NA,154.50,175.10,NA
20604,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,267.80,NA,13,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for posterior cervical laminectomy with the patient in the sitting position (13 basic units)
",,,NA,NA,200.85,227.65,NA
20620,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on thoracic spine and/or cord, not being a service to which another item in this Subgroup applies (10 basic units)
",,,NA,NA,154.50,175.10,NA
20622,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,267.80,NA,13,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for thoracolumbar sympathectomy (13 basic units)
",,,NA,NA,200.85,227.65,NA
20630,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,164.80,NA,8,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures in lumbar region, not being a service to which another item in this Subgroup applies (8 basic units)
",,,NA,NA,123.60,140.10,NA
20632,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,144.20,NA,7,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for lumbar sympathectomy (7 basic units)
",,,NA,NA,108.15,122.60,NA
20634,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for chemonucleolysis (10 basic units)
",,,NA,NA,154.50,175.10,NA
20670,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,267.80,NA,13,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for extensive spine and/or spinal cord procedures (13 basic units)
",,,NA,NA,200.85,227.65,NA
20680,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,61.80,NA,3,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for manipulation of spine when performed in the operating theatre of a hospital (3 basic units)
",,,NA,NA,46.35,52.55,NA
20690,,01.11.2001,,3,T10,5,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous spinal procedures, not being a service to which another item in this Subgroup applies (5 basic units)
",,,NA,NA,77.25,87.55,NA
20700,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,61.80,NA,3,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the upper anterior abdominal wall, not being a service to which another item in this Subgroup applies (3 basic units)
",,,NA,NA,46.35,52.55,NA
20702,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,82.40,NA,4,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous liver biopsy (4 basic units)
",,,NA,NA,61.80,70.05,NA
20703,,01.11.2005,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2005,01.07.2021,82.40,NA,4,,,,,,,,01.11.2005,"INITIATION OF MANAGEMENT OF ANAESTHESIA for all procedures on the nerves, muscles, tendons and fascia of the upper abdominal wall, not being a service to which another item in this Subgroup applies (4 basic units)
",,,NA,NA,61.80,70.05,NA
20704,,01.07.2008,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.07.2008,01.07.2021,206.00,NA,10,,,,,,,,01.07.2008,"INITIATION OF MANAGEMENT OF ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior upper abdomen (10 basic units)
",,,NA,NA,154.50,175.10,NA
20706,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,144.20,NA,7,,,,,,,,01.11.2019,"Initiation of the management of anaesthesia for laparoscopic procedures in the upper abdomen, including laparoscopic cholecystectomy, not being a service to which another item in this Subgroup applies (7 basic units)
",,,NA,NA,108.15,122.60,NA
20730,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.05.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the upper posterior abdominal wall, not being a service to which another item in this Subgroup applies (5 basic units)
",,,NA,NA,77.25,87.55,NA
20740,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for upper gastrointestinal endoscopic procedures (5 basic units)
",,,NA,NA,77.25,87.55,NA
20745,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,144.20,NA,7,,,,,,,,01.11.2019,"Initiation of the management of anaesthesia for either or both of the following:(a) upper gastrointestinal endoscopic procedures in association with acute gastrointestinal haemorrhage;(b) endoscopic retrograde cholangiopancreatography (7 basic units)
",,,NA,NA,108.15,122.60,NA
20750,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,103.00,NA,5,,,,,,,,01.11.2019,"Initiation of the management of anaesthesia for hernia repairs to the upper abdominal wall, other than a service to which another item in this Subgroup applies. (5 basic units)
",,,NA,NA,77.25,87.55,NA
20752,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,123.60,NA,6,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for repair of incisional hernia and/or wound dehiscence (6 basic units)
",,,NA,NA,92.70,105.10,NA
20754,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,144.20,NA,7,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on an omphalocele (7 basic units)
",,,NA,NA,108.15,122.60,NA
20756,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,185.40,NA,9,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for transabdominal repair of diaphragmatic hernia (9 basic units)
",,,NA,NA,139.05,157.60,NA
20770,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,309.00,NA,15,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on major upper abdominal blood vessels (15 basic units)
",,,NA,NA,231.75,262.65,NA
20790,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,164.80,NA,8,,,,,,,,01.11.2019,"Initiation of the management of anaesthesia for procedures within the peritoneal cavity in upper abdomen, including any of the following:(a) open cholecystectomy;(b) gastrectomy;(c) laparoscopically assisted nephrectomy;(d) bowel shunts (8 basic units)
",,,NA,NA,123.60,140.10,NA
20791,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.01.2014,"Initiation of the management of anaesthesia for bariatric surgery in a patient with clinically severe obesity (10 basic units)
",,,NA,NA,154.50,175.10,NA
20792,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,267.80,NA,13,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for partial hepatectomy (excluding liver biopsy) (13 basic units)
",,,NA,NA,200.85,227.65,NA
20793,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,309.00,NA,15,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for extended or trisegmental hepatectomy (15 basic units)
",,,NA,NA,231.75,262.65,NA
20794,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,247.20,NA,12,,,,,,,,01.05.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for pancreatectomy, partial or total (12 basic units)
",,,NA,NA,185.40,210.15,NA
20798,,01.11.2001,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,206.00,NA,10,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for neuro endocrine tumour removal in the upper abdomen (10 basic units)
",,,NA,NA,154.50,175.10,NA
20799,,01.11.2002,,3,T10,6,,S,N,,N,N,N,N,N,N,N,C,01.11.2002,01.07.2021,123.60,NA,6,,,,,,,,01.11.2002,"INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous procedures on an intra-abdominal organ in the upper abdomen (6 basic units)
",,,NA,NA,92.70,105.10,NA
20800,,01.11.2001,,3,T10,7,,S,N,,N,N,N,N,N,N,N,C,01.11.2001,01.07.2021,61.80,NA,3,,,,,,,,01.11.2001,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the lower anterior abdominal walls, not being a service to which another item in this Subgroup applies (3 basic units)
",,,NA,NA,46.35,52.55,NA
